Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
ADHD,Alcobra Ltd. - Ordinary Shares,S,N,N,100
ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,100
ADNC,"Audience, Inc. - Common Stock",Q,N,N,100
ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,100
ADRA,BLDRS Asia 50 ADR Index Fund,G,N,N,100
ADRD,BLDRS Developed Markets 100 ADR Index Fund,G,N,N,100
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,G,N,N,100
ADRU,BLDRS Europe 100 ADR Index Fund,G,N,N,100
ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,100
ADTN,"ADTRAN, Inc. - Common Stock",Q,N,N,100
ADUS,Addus HomeCare Corporation - Common Stock,G,N,D,100
ADVS,"Advent Software, Inc. - Common Stock",Q,N,N,100
ADXS,"Advaxis, Inc. - Common Stock",S,N,N,100
ADXSW,"Advaxis, Inc. - Warrants",S,N,N,100
AEGN,Aegion Corp - Class A Common Stock,Q,N,N,100
AEGR,"Aegerion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AEHR,Aehr Test Systems - Common Stock,S,N,N,100
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100
AEPI,AEP Industries Inc. - Common Stock,Q,N,N,100
AERI,"Aerie Pharmaceuticals, Inc. - Common Stock",G,N,N,100
AETI,"American Electric Technologies, Inc. - Common Stock",S,N,N,100
AEY,"ADDvantage Technologies Group, Inc. - Common Stock",G,N,N,100
AEZS,AEterna Zentaris Inc. - Common Stock,S,N,N,100
AFAM,Almost Family Inc - Common Stock,Q,N,N,100
AFCB,Athens Bancshares Corporation - Common Stock,S,N,N,100
AFCE,"AFC Enterprises, Inc. - Common Stock",Q,N,N,100
AFFX,"Affymetrix, Inc. - Common Stock",Q,N,N,100
AFH,"Atlas Financial Holdings, Inc. - Ordinary Shares",S,N,N,100
AFOP,"Alliance Fiber Optic Products, Inc. - Common Stock",S,N,N,100
AFSI,"AmTrust Financial Services, Inc. - Common Stock",Q,N,N,100
AGEN,Agenus Inc. - Common Stock,S,N,N,100
AGII,"Argo Group International Holdings, Ltd. - Common Stock",Q,N,N,100
AGIIL,"Argo Group International Holdings, Ltd. - 6.5% Senior Notes Due 2042",Q,N,N,100
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AGNC,American Capital Agency Corp. - Common Stock,Q,N,N,100
AGNCP,American Capital Agency Corp. - Cumulative Preferred Series A,Q,N,N,100
AGYS,"Agilysys, Inc. - Common Stock",Q,N,N,100
AHGP,"Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests",Q,N,N,100
AHPI,"Allied Healthcare Products, Inc. - Common Stock",G,N,N,100
AIMC,"Altra Holdings, Inc. - Common Stock",Q,N,N,100
AINV,Apollo Investment Corporation - Closed End Fund,Q,N,N,100
AIQ,"Alliance HealthCare Services, Inc. - Common Stock",G,N,N,100
AIRM,Air Methods Corporation - Common Stock,Q,N,N,100
AIRT,"Air T, Inc. - Common Stock",S,N,N,100
AIXG,"Aixtron SE - American Depositary Shares, each representing one Ordinary Share",Q,N,N,100
AKAM,"Akamai Technologies, Inc. - Common Stock",Q,N,N,100
AKRX,"Akorn, Inc. - Common Stock",Q,N,N,100
ALCO,"Alico, Inc. - Common Stock",Q,N,N,100
ALCS,"ALCO Stores, Inc. - Common Stock",G,N,N,100
ALGN,"Align Technology, Inc. - Common Stock",Q,N,N,100
ALGT,Allegiant Travel Company - Common Stock,Q,N,N,100
ALIM,"Alimera Sciences, Inc. - Common Stock",G,N,N,100
ALKS,Alkermes plc - Ordinary Shares,Q,N,N,100
ALLB,"Alliance Bancorp, Inc. of Pennsylvania - Common Stock",G,N,N,100
ALLT,Allot Communications Ltd. - Ordinary Shares,Q,N,N,100
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
ALOG,Analogic Corporation - Common Stock,Q,N,N,100
ALOT,"Astro-Med, Inc. - Common Stock",G,N,N,100
ALSK,"Alaska Communications Systems Group, Inc. - Common Stock",Q,N,N,100
ALTI,Altair Nanotechnologies Inc. - Common Stock,S,N,N,100
ALTR,Altera Corporation - Common Stock,Q,N,N,100
ALVR,Alvarion Ltd. - Ordinary Shares,S,N,Q,100
ALXA,"Alexza Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ALXN,"Alexion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AMAG,"AMAG Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AMAP,AutoNavi Holdings Limited - ADS representing 4 shares of Common Stock,Q,N,N,100
AMAT,"Applied Materials, Inc. - Common Stock",Q,N,N,100
AMBA,"Ambarella, Inc. - Ordinary Shares",Q,N,N,100
AMBC,"Ambac Financial Group, Inc. - Common Stock",Q,N,N,100
AMBCW,"Ambac Financial Group, Inc. - Warrants",Q,N,N,100
AMBI,Ambit Biosciences Corporation - Common Stock,G,N,N,100
AMBT,Ambient Corporation - Common Stock,S,N,N,100
AMCC,Applied Micro Circuits Corporation - Common Stock,Q,N,N,100
AMCF,Andatee China Marine Fuel Services Corporation - Common Stock,S,N,N,100
AMCN,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares",Q,N,N,100
AMCX,AMC Networks Inc. - Class A Common Stock,Q,N,N,100
AMED,Amedisys Inc - Common Stock,Q,N,N,100
AMGN,Amgen Inc. - Common Stock,Q,N,N,100
AMIC,American Independence Corp. - Common Stock,G,N,N,100
AMKR,"Amkor Technology, Inc. - Common Stock",Q,N,N,100
AMNB,"American National Bankshares, Inc. - Common Stock",Q,N,N,100
AMOT,"Allied Motion Technologies, Inc. - Common Stock",G,N,N,100
AMOV,"America Movil, S.A.B. de C.V. - American Depositary Shares, each representing 20 A Shares",Q,N,N,100
AMRB,American River Bankshares - Common Stock,Q,N,N,100
AMRI,"Albany Molecular Research, Inc. - Common Stock",Q,N,N,100
AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",G,N,N,100
AMRS,"Amyris, Inc. - Common Stock",Q,N,N,100
AMSC,American Superconductor Corporation - Common Stock,Q,N,N,100
AMSF,"AMERISAFE, Inc. - Common Stock",Q,N,N,100
AMSG,Amsurg Corp. - Common Stock,Q,N,N,100
AMSWA,"American Software, Inc. - Class A Common Stock",Q,N,N,100
AMWD,American Woodmark Corporation - Common Stock,Q,N,N,100
AMZN,"Amazon.com, Inc. - Common Stock",Q,N,N,100
ANAC,"Anacor Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ANAD,"ANADIGICS, Inc. - Common Stock",Q,N,N,100
ANAT,American National Insurance Company - Common Stock,Q,N,D,100
ANCB,Anchor Bancorp - Common Stock,G,N,N,100
ANCI,American Caresource Holdings Inc - Common Stock,S,N,N,100
ANCX,Access National Corporation - Common Stock,G,N,N,100
ANDA,Andina Acquisition Corporation - Ordinary Shares,S,N,D,100
ANDAU,Andina Acquisition Corporation - Unit,S,N,N,100
ANDAW,Andina Acquisition Corporation - Warrant,S,N,N,100
ANDE,"The Andersons, Inc. - Common Stock",Q,N,N,100
ANEN,"Anaren, Inc. - Common Stock",Q,N,N,100
ANGI,"Angie's List, Inc. - Common Stock",G,N,N,100
ANGO,"AngioDynamics, Inc. - Common Stock",Q,N,N,100
ANIK,Anika Therapeutics Inc. - Common Stock,Q,N,N,100
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ANSS,"ANSYS, Inc. - Common Stock",Q,N,N,100
ANTH,"Anthera Pharmaceuticals, Inc. - Common Stock",G,N,N,100
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,N,N,100
APAGF,Apco Oil and Gas International Inc. - Ordinary Shares,S,N,N,100
APEI,"American Public Education, Inc. - Common Stock",Q,N,N,100
APFC,American Pacific Corporation - Common Stock,G,N,N,100
APOG,"Apogee Enterprises, Inc. - Common Stock",Q,N,N,100
APOL,"Apollo Group, Inc. - Class A Common Stock",Q,N,N,100
APPY,"Venaxis, Inc. - Common Stock",S,N,N,100
APRI,"Apricus Biosciences, Inc - Common Stock",S,N,N,100
APSA,"Alto Palermo S.A. - American Depository Shares, each representing forty shares of Common Stock",Q,N,N,100
APWC,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share",G,N,N,100
AQU,Aquasition Corp. - Common Stock,S,N,N,100
AQUUU,Aquasition Corp. - Units,S,N,N,100
AQUUW,Aquasition Corp. - Warrants,S,N,N,100
ARAY,Accuray Incorporated - Common Stock,Q,N,N,100
ARCC,Ares Capital Corporation - Closed End Fund,Q,N,N,100
ARCI,"Appliance Recycling Centers of America, Inc. - Common Stock",S,N,N,100
ARCP,"American Realty Capital Properties, Inc. - Common Stock",Q,N,D,100
ARCW,"ARC Group Worldwide, Inc. - Common Stock",S,N,D,100
ARDNA,"Arden Group, Inc. - Class A Common Stock",G,N,N,100
AREX,Approach Resources Inc. - Common Stock,Q,N,N,100
ARIA,"ARIAD Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
ARII,"American Railcar Industries, Inc. - Common Stock",Q,N,N,100
ARKR,Ark Restaurants Corp. - Common Stock,G,N,N,100
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",Q,N,N,100
ARMH,ARM Holdings plc - American Depositary Shares each representing 3 Ordinary Shares,Q,N,N,100
ARNA,"Arena Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AROW,Arrow Financial Corporation - Common Stock,Q,N,N,100
ARQL,"ArQule, Inc. - Common Stock",G,N,N,100
ARRS,"ARRIS Group, Inc. - Common Stock",Q,N,N,100
ARRY,Array BioPharma Inc. - Common Stock,G,N,N,100
ARTC,ArthroCare Corporation - Common Stock,Q,N,N,100
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,Q,N,N,100
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",S,N,N,100
ARTX,Arotech Corporation - Common Stock,G,N,N,100
ARUN,"Aruba Networks, Inc. - Common Stock",Q,N,N,100
ARWR,Arrowhead Research Corporation - Common Stock,S,N,N,100
ASBB,"ASB Bancorp, Inc. - Common Stock",G,N,N,100
ASBC,Associated Banc-Corp - Common Stock,Q,N,N,100
ASBCW,Associated Banc-Corp - Warrants,Q,N,N,100
ASBI,Ameriana Bancorp - Common Stock,S,N,N,100
ASCMA,"Ascent Capital Group, Inc. - Series A Common Stock",Q,N,N,100
ASDR,VelocityShares Emerging Asia DR ETF,G,N,N,100
ASEI,"American Science and Engineering, Inc. - Common Stock",Q,N,N,100
ASFI,"Asta Funding, Inc. - Common Stock",Q,N,N,100
ASIA,"AsiaInfo-Linkage, Inc. - Common Stock",Q,N,N,100
ASMI,ASM International N.V. - Common Shares,Q,N,N,100
ASML,ASML Holding N.V. - ADS represents 1 ordinary share,Q,N,N,100
ASNA,"Ascena Retail Group, Inc. - Common Stock",Q,N,N,100
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,Q,N,N,100
ASRV,AmeriServ Financial Inc. - Common Stock,G,N,N,100
ASRVP,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",G,N,N,100
ASTC,Astrotech Corporation - Common Stock,S,N,N,100
ASTE,"Astec Industries, Inc. - Common Stock",Q,N,N,100
ASTI,"Ascent Solar Technologies, Inc. - Common Stock",G,N,D,100
ASTM,"Aastrom Biosciences, Inc. - Common Stock",S,N,D,100
ASUR,Asure Software Inc - Common Stock,S,N,N,100
ASYS,"Amtech Systems, Inc. - Common Stock",Q,N,N,100
ATAI,"ATA Inc. - American Depositary Shares, each representing two common shares",G,N,N,100
ATAX,"America First Tax Exempt Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",Q,N,N,100
ATEA,"Astea International, Inc. - Common Stock",S,N,N,100
ATEC,"Alphatec Holdings, Inc. - Common Stock",Q,N,N,100
ATHN,"athenahealth, Inc. - Common Stock",Q,N,N,100
ATHX,"Athersys, Inc. - Common Stock",S,N,N,100
ATLC,Atlanticus Holdings Corporation - Common Stock,Q,N,N,100
ATLO,Ames National Corporation - Common Stock,S,N,N,100
ATMI,ATMI Inc. - Common Stock,Q,N,N,100
ATML,Atmel Corporation - Common Stock,Q,N,N,100
ATNI,"Atlantic Tele-Network, Inc. - Common Stock",Q,N,N,100
ATNY,API Technologies Corp. - Common Stock,S,N,N,100
ATOS,Atossa Genetics Inc. - Common Stock,S,N,N,100
ATRC,"AtriCure, Inc. - Common Stock",G,N,N,100
ATRI,ATRION Corporation - Common Stock,Q,N,N,100
ATRM,Aetrium Incorporated - Common Stock,S,N,N,100
ATRO,Astronics Corporation - Common Stock,Q,N,N,100
ATRS,"Antares Pharma, Inc. - Common Stock",S,N,N,100
ATSG,"Air Transport Services Group, Inc - Common Stock",Q,N,N,100
ATTU,Attunity Ltd. - Ordinary Shares,S,N,N,100
ATVI,"Activision Blizzard, Inc - Common Stock",Q,N,N,100
ATX,Costa Inc. - Class A Common Stock,G,N,N,100
AUBN,"Auburn National Bancorporation, Inc. - Common Stock",G,N,N,100
AUDC,AudioCodes Ltd. - Ordinary Shares,Q,N,N,100
AUXL,"Auxilium Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AVAV,"AeroVironment, Inc. - Common Stock",Q,N,N,100
AVEO,"AVEO Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AVGO,Avago Technologies Limited - Ordinary Shares,Q,N,N,100
AVHI,"A V Homes, Inc. - Common Stock",Q,N,N,100
AVID,"Avid Technology, Inc. - Common Stock",Q,N,E,100
AVNR,"Avanir Pharmaceuticals, Inc. - Class A Common Stock",Q,N,N,100
AVNW,"Aviat Networks, Inc. - Common Stock",Q,N,N,100
AWAY,"HomeAway, Inc. - Common Stock",Q,N,N,100
AWRE,"Aware, Inc. - Common Stock",G,N,N,100
AXAS,Abraxas Petroleum Corporation - Common Stock,S,N,N,100
AXDX,"Accelerate Diagnostics, Inc. - Common Stock",S,N,N,100
AXFN,iShares MSCI ACWI ex US Financials Sector Index Fund,G,N,N,100
AXGN,"AxoGen, Inc. - Common Stock",S,N,N,100
AXJS,iShares MSCI All Country Asia ex Japan Small Cap Index Fund,G,N,N,100
AXTI,AXT Inc - Common Stock,Q,N,N,100
AZPN,"Aspen Technology, Inc. - Common Stock",Q,N,N,100
BABY,Natus Medical Incorporated - Common Stock,Q,N,N,100
BAGL,"Einstein Noah Restaurant Group, Inc. - Common Stock",G,N,N,100
BAGR,"Diversified Restaurant Holdings, Inc. - Common Stock",S,N,N,100
BAMM,"Books-A-Million, Inc. - Common Stock",Q,N,N,100
BANC,"Banc of California, Inc. - Common Stock",G,N,N,100
BANCL,"Banc of California, Inc. - Baby Bond",G,N,N,100
BANCP,"Banc of California, Inc. - Depositary shares each representing a 1/40th ownership interest in a share of 8% Non-Cumulative Perpetual Preferred Stock, Series C",G,N,N,100
BANF,BancFirst Corporation - Common Stock,Q,N,N,100
BANFP,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities,Q,N,N,100
BANR,Banner Corporation - Common Stock,Q,N,N,100
BASI,"Bioanalytical Systems, Inc. - Common Stock",S,N,N,100
BAXS,"Baxano Surgical, Inc. - Common Stock",G,N,N,100
BBBY,Bed Bath & Beyond Inc. - Common Stock,Q,N,N,100
BBCN,"BBCN Bancorp, Inc. - Common Stock",Q,N,N,100
BBEP,"BreitBurn Energy Partners, L.P. - Common Units Representing Limited Partnership",Q,N,N,100
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",G,N,N,100
BBNK,Bridge Capital Holdings - Common Stock,Q,N,N,100
BBOX,Black Box Corporation - Common Stock,Q,N,N,100
BBRG,"Bravo Brio Restaurant Group, Inc. - Common Stock",Q,N,N,100
BBRY,BlackBerry Limited - Common Stock,Q,N,N,100
BBSI,"Barrett Business Services, Inc. - Common Stock",Q,N,N,100
BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",G,N,N,100
BCOM,B Communications Ltd. - Ordinary Shares,Q,N,N,100
BCOR,"Blucora, Inc. - Common Stock",Q,N,N,100
BCOV,Brightcove Inc. - Common Stock,Q,N,N,100
BCPC,Balchem Corporation - Common Stock,Q,N,N,100
BCRX,"BioCryst Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
BCSB,"BCSB Bancorp, Inc. - Common Stock",G,N,N,100
BDBD,"Boulder Brands, Inc. - Common Stock",Q,N,N,100
BDE,"Black Diamond, Inc. - Common Stock",Q,N,N,100
BDGE,"Bridge Bancorp, Inc. - Common Stock",Q,N,N,100
BDMS,"Birner Dental Management Services, Inc. - Common Stock",S,N,N,100
BDSI,"BioDelivery Sciences International, Inc. - Common Stock",S,N,N,100
BEAT,"BioTelemetry, Inc. - Common Stock",G,N,N,100
BEAV,"B/E Aerospace, Inc. - Common Stock",Q,N,N,100
BEBE,"bebe stores, inc. - Common Stock",Q,N,N,100
BECN,"Beacon Roofing Supply, Inc. - Common Stock",Q,N,N,100
BELFA,Bel Fuse Inc. - Class A Common Stock,Q,N,N,100
BELFB,Bel Fuse Inc. - Class B Common Stock,Q,N,N,100
BERK,"Berkshire Bancorp, Inc. - Common Stock",G,N,N,100
BFIN,BankFinancial Corporation - Common Stock,Q,N,N,100
BGCP,"BGC Partners, Inc. - Class A Common Stock",Q,N,N,100
BGFV,Big 5 Sporting Goods Corporation - Common Stock,Q,N,N,100
BGMD,"BG Medicine, Inc. - Common Stock",G,N,D,100
BGSC,BGS Acquisition Corp. - Ordinary Shares,S,N,D,100
BGSCU,BGS Acquisition Corp. - Units consisting of one ordinary share and one warrant,S,N,N,100
BGSCW,BGS Acquisition Corp. - Warrants,S,N,N,100
BIB,ProShares Ultra Nasdaq Biotechnology,G,N,N,100
BICK,First Trust BICK Index Fund,G,N,N,100
BIDU,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share",Q,N,N,100
BIIB,Biogen Idec Inc. - Common Stock,Q,N,N,100
BIND,"BIND Therapeutics, Inc. - Common Stock",Q,N,N,100
BIOD,Biodel Inc. - Common Stock,S,N,N,100
BIOF,BioFuel Energy Corp. - Common Stock,S,N,N,100
BIOL,"Biolase, Inc. - Common Stock",S,N,N,100
BIOS,"BioScrip, Inc. - Common Stock",Q,N,N,100
BIRT,Actuate Corporation - Common Stock,Q,N,N,100
BIS,ProShares UltraShort Nasdaq Biotechnology,G,N,N,100
BJRI,"BJ's Restaurants, Inc. - Common Stock",Q,N,N,100
BKCC,BlackRock Kelso Capital Corporation - Common Stock,Q,N,N,100
BKEP,"Blueknight Energy Partners L.P., L.L.C. - Common Units representing Limited Partner Interests",G,N,N,100
BKEPP,"Blueknight Energy Partners L.P., L.L.C. - Series A Preferred Units",G,N,N,100
BKMU,Bank Mutual Corporation - Common Stock,Q,N,N,100
BKSC,Bank of South Carolina Corp. - Common Stock,S,N,N,100
BKYF,The Bank of Kentucky Financial Corp. - Common Stock,Q,N,N,100
BLDP,"Ballard Power Systems, Inc. - Common Shares",G,N,N,100
BLDR,"Builders FirstSource, Inc. - Common Stock",Q,N,N,100
BLIN,"Bridgeline Digital, Inc. - Common Stock",S,N,N,100
BLKB,"Blackbaud, Inc. - Common Stock",Q,N,N,100
BLMN,"Bloomin' Brands, Inc. - Common Stock",Q,N,N,100
BLMT,"BSB Bancorp, Inc. - Common Stock",S,N,N,100
BLRX,BioLineRx Ltd. - American Depositary Shares,S,N,N,100
BLUE,"bluebird bio, Inc. - Common Stock",Q,N,N,100
BMRC,Bank of Marin Bancorp - Common Stock,S,N,N,100
BMRN,BioMarin Pharmaceutical Inc. - Common Stock,Q,N,N,100
BMTC,Bryn Mawr Bank Corporation - Common Stock,Q,N,N,100
BNCL,"Beneficial Mutual Bancorp, Inc. - Common Stock",Q,N,N,100
BNCN,BNC Bancorp - Common Stock,S,N,N,100
BNDX,Vanguard Total International Bond ETF,G,N,N,100
BNFT,"Benefitfocus, Inc. - Common Stock",G,N,N,100
BNSO,"Bonso Electronics International, Inc. - Common Stock",S,N,N,100
BOBE,"Bob Evans Farms, Inc. - Common Stock",Q,N,N,100
BOCH,Bank of Commerce Holdings (CA) - Common Stock,G,N,N,100
BODY,Body Central Corp. - Common Stock,Q,N,N,100
BOFI,"BofI Holding, Inc. - Common Stock",Q,N,N,100
BOKF,BOK Financial Corporation - Common Stock,Q,N,N,100
BOLT,Bolt Technology Corporation - Common Stock,Q,N,N,100
BONA,Bona Film Group Limited - American Depositary Shares,Q,N,N,100
BONT,"The Bon-Ton Stores, Inc. - Common Stock",Q,N,N,100
BOOM,Dynamic Materials Corporation - Common Stock,Q,N,N,100
BOSC,B.O.S. Better Online Solutions - Ordinary Shares,S,N,N,100
BOTA,"Biota Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",S,N,N,100
BPFH,"Boston Private Financial Holdings, Inc. - Common Stock",Q,N,N,100
BPFHP,"Boston Private Financial Holdings, Inc. - Depositary Shares representing 1/40th Interest in a Share of 6.95% Non-Cumulative Perpetual Preferred Stock, Series D",Q,N,N,100
BPFHW,"Boston Private Financial Holdings, Inc. - Warrants to purchase 1 share of common stock @ $8.00/share",Q,N,N,100
BPHX,"BluePhoenix Solutions, Ltd. - Ordinary Shares",G,N,N,100
BPOP,"Popular, Inc. - Common Stock",Q,N,N,100
BPOPM,"Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",Q,N,N,100
BPOPN,"Popular, Inc. - Popular Capital Trust I -6.70% Cumulative Monthly Income Trust Preferred Securities",Q,N,N,100
BRCD,"Brocade Communications Systems, Inc. - Common Stock",Q,N,N,100
BRCM,Broadcom Corporation - Class A Common Stock,Q,N,N,100
BREW,"Craft Brew Alliance, Inc. - Common Stock",G,N,N,100
BRID,Bridgford Foods Corporation - Common Stock,G,N,N,100
BRKL,"Brookline Bancorp, Inc. - Common Stock",Q,N,N,100
BRKR,Bruker Corporation - Common Stock,Q,N,N,100
BRKS,"Brooks Automation, Inc. - Common Stock",Q,N,N,100
BRLI,"Bio-Reference Laboratories, Inc. - Common Stock",Q,N,N,100
BSDM,BSD Medical Corporation - Common Stock,G,N,N,100
BSET,"Bassett Furniture Industries, Incorporated - Common Stock",Q,N,N,100
BSFT,"BroadSoft, Inc. - Common Stock",Q,N,N,100
BSPM,"Biostar Pharmaceuticals, Inc. - Common Stock",S,N,D,100
BSQR,BSQUARE Corporation - Common Stock,G,N,N,100
BSRR,Sierra Bancorp - Common Stock,Q,N,N,100
BSTC,BioSpecifics Technologies Corp - Common Stock,G,N,N,100
BTUI,"BTU International, Inc. - Common Stock",G,N,N,100
BUR,Burcon NutraScience Corp - Ordinary Shares,G,N,N,100
BUSE,First Busey Corporation - Common Stock,Q,N,N,100
BV,"Bazaarvoice, Inc. - Common Stock",Q,N,N,100
BVA,Cordia Bancorp Inc. - Common Stock,S,N,N,100
BVSN,"BroadVision, Inc. - Common Stock",G,N,N,100
BWEN,"Broadwind Energy, Inc. - Common Stock",S,N,N,100
BWINA,"Baldwin & Lyons, Inc. - Class A (voting) Common Stock",G,N,N,100
BWINB,"Baldwin & Lyons, Inc. - Class B (nonvoting) Common Stock",G,N,N,100
BWLD,"Buffalo Wild Wings, Inc. - Common Stock",Q,N,N,100
BYBK,"Bay Bancorp, Inc. - Common Stock",S,N,N,100
BYFC,Broadway Financial Corporation - Common Stock,S,N,N,100
CA,CA Inc. - Common Stock,Q,N,N,100
CAAS,"China Automotive Systems, Inc. - Common Stock",S,N,N,100
CAC,Camden National Corporation - Common Stock,Q,N,N,100
CACB,Cascade Bancorp - Common Stock,S,N,N,100
CACC,Credit Acceptance Corporation - Common Stock,Q,N,N,100
CACG,Chart Acquisition Corp. - Common Stock,S,N,N,100
CACGU,Chart Acquisition Corp. - Units,S,N,N,100
CACGW,Chart Acquisition Corp. - Warrants,S,N,N,100
CACH,"Cache, Inc. - Common Stock",Q,N,N,100
CADC,"China Advanced Construction Materials Group, Inc. - Common Stock",S,N,N,100
CADX,"Cadence Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
CAFI,Camco Financial Corporation - Common Stock,G,N,N,100
CAKE,The Cheesecake Factory Incorporated - Common Stock,Q,N,N,100
CALD,"Callidus Software, Inc. - Common Stock",G,N,N,100
CALI,China Auto Logistics Inc. - Common Stock,G,N,N,100
CALL,magicJack VocalTec Ltd - Ordinary Shares,G,N,N,100
CALM,"Cal-Maine Foods, Inc. - Common Stock",Q,N,N,100
CAMP,CalAmp Corp. - Common Stock,Q,N,N,100
CAMT,Camtek Ltd. - Ordinary Shares,G,N,N,100
CAR,"Avis Budget Group, Inc. - Common Stock",Q,N,N,100
CARB,"Carbonite, Inc. - Common Stock",G,N,N,100
CART,Carolina Trust Bank - Common Stock,S,N,N,100
CARV,"Carver Bancorp, Inc. - Common Stock",S,N,N,100
